대륙,국적,성별,문화예술(D-1),유학(D-2),기술연수(D-3),일반연수(D-4),취재(D-5),종교(D-6),주재(D-7),기업투자(D-8),무역경영(D-9),구직(D-10),연수취업(E8),교수(E-1),회화강사(E-2),연구(E-3),기술지도(E-4),전문직업(E-5),예술흥행(E-6),특정활동(E-7),비전문취업(E-9),선원취업(E-10),방문동거(F-1),거주(F-2),동반(F-3),영주(F-5),결혼이민(F-6),기타(G-1),관광취업(H-1),방문취업(H-2),기타(other)
남아메리카주,수리남,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
남아메리카주,세인트빈센트그레나딘,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
남아메리카주,그레나다,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
유럽주,러시아(연방),남성,0,141,0,114,3,5,44,97,82,14,0,18,3,52,3,18,68,119,7,0,1970,204,132,175,115,1815,0,0,390
유럽주,러시아(연방),여성,1,703,0,740,1,3,1,17,4,53,0,18,21,5,1,0,186,74,13,0,2490,329,341,498,1542,1008,0,0,331
유럽주,영국,남성,0,95,0,18,4,4,21,59,60,18,0,82,855,21,20,12,34,237,0,0,31,99,120,191,929,0,14,0,89
유럽주,영국,여성,0,237,0,32,6,2,2,5,1,18,0,14,1115,1,0,0,18,154,0,0,21,50,134,37,176,1,15,0,73
유럽주,프랑스,남성,2,661,0,80,4,5,29,129,84,14,0,27,14,27,3,4,31,185,0,0,15,78,148,115,505,0,179,0,115
유럽주,프랑스,여성,0,886,0,235,0,4,2,15,4,12,0,6,20,6,0,1,44,103,0,0,4,50,190,23,238,1,462,0,92
유럽주,우크라이나,남성,0,15,0,6,0,1,3,1,25,3,0,1,1,10,0,0,58,27,2,0,503,19,21,40,29,60,0,416,29
유럽주,우크라이나,여성,0,86,0,53,0,0,0,2,0,6,0,1,1,1,0,0,134,14,0,0,639,20,40,41,186,143,0,516,38
유럽주,독일,남성,0,421,0,22,2,10,22,156,43,7,0,53,8,20,3,10,14,101,0,0,20,33,81,117,251,0,63,0,74
유럽주,독일,여성,0,786,0,85,1,6,5,14,0,9,0,8,8,6,0,0,28,62,0,0,4,28,149,45,100,2,217,0,93
유럽주,한국계러시아인,남성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,368,22,1,497,13,0,0,5,1
